resource_id,title,provider,url,duration_min,is_micro,language,level,related_competencies,summary,learning_mode
COURSE.001,"Python 后端开发实战",极客时间,https://time.geekbang.org/course/detail/100027001,900,false,zh,intermediate,"C.hard.prog.py;C.hard.db.sql;C.hard.arch","系统讲解 FastAPI/Django、数据库交互、部署运维的完整后端开发链路",formal
COURSE.002,"Python 入门 10 分钟微课",B站,https://www.bilibili.com/video/BV1qw411y7XN,10,true,zh,beginner,"C.hard.prog.py","快速掌握 Python 基础语法与核心数据类型",formal
COURSE.003,"Go 语言高并发实战",极客时间,https://time.geekbang.org/course/detail/100054001,720,false,zh,advanced,"C.hard.prog.go;C.hard.distributed","深入 goroutine/channel，实现高并发后端服务",formal
COURSE.004,"TypeScript 速成 7 天",慕课网,https://www.imooc.com/learn/typescript-7d,420,false,zh,intermediate,"C.hard.prog.ts","类型系统、泛型、装饰器到工程实战一次过",formal
COURSE.005,"System Design 面试与实战",极客时间,https://time.geekbang.org/column/intro/100074201,1200,false,zh,advanced,"C.hard.arch;C.hard.distributed","从 URL 短链到百万级聊天系统的架构案例",formal
COURSE.006,"分布式系统核心 10 讲",拉勾教育,https://edu.lagou.com/course/distributed,600,false,zh,intermediate,"C.hard.distributed","CAP / Raft / 一致性哈希 / 消息队列 / 分库分表",formal
COURSE.007,"MySQL 性能优化",极客时间,https://time.geekbang.org/column/intro/139,800,false,zh,intermediate,"C.hard.db.sql","索引原理、执行计划、慢 SQL 优化、分库分表",formal
COURSE.008,"Redis 核心实战",拉勾教育,https://edu.lagou.com/course/redis,500,false,zh,intermediate,"C.hard.db.nosql","数据结构、持久化、主从与集群、缓存设计模式",formal
COURSE.009,"大模型应用开发实战",得到高研院,https://www.dedao.cn/course/llm-app,600,false,zh,intermediate,"C.hard.ml.dl;C.tool.prompt;C.domain.ai-app","RAG / Agent / Function Calling / 成本与延迟优化",formal
COURSE.010,"Prompt Engineering 速成",deeplearning.ai,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering,90,false,en,beginner,"C.tool.prompt;C.hard.ml.dl","少样本 / 思维链 / 输出结构化三板斧",formal
COURSE.011,"LangChain 核心模块解析",B站,https://www.bilibili.com/video/BV1xx4y1q7Xs,180,false,zh,intermediate,"C.hard.prog.py;C.hard.ml.dl;C.tool.prompt","Chain/Agent/Memory/Tool 四大核心模块实战",formal
COURSE.012,"推荐系统实战（王喆）",极客时间,https://time.geekbang.org/column/intro/322,1000,false,zh,advanced,"C.hard.ml.dl;C.hard.ml.basic","召回、精排、重排的工业级架构",formal
COURSE.013,"Flink 流处理入门到精通",极客时间,https://time.geekbang.org/column/intro/100058801,900,false,zh,intermediate,"C.hard.data.eng","窗口、状态、CDC、Exactly-once 语义",formal
COURSE.014,"数据仓库建模实战",慕课网,https://www.imooc.com/learn/dw-modeling,600,false,zh,intermediate,"C.hard.data.eng;C.hard.db.sql","维度建模、ODS/DWD/DWS 分层、宽表设计",formal
COURSE.015,"Kubernetes 从入门到精通",极客时间,https://time.geekbang.org/column/intro/100015201,1500,false,zh,intermediate,"C.tool.docker;C.tool.cloud","Pod/Service/Ingress/Operator 全套实战",formal
COURSE.016,"云原生可观测性",拉勾教育,https://edu.lagou.com/course/observability,500,false,zh,intermediate,"C.tool.observability","Metrics/Logs/Traces 三位一体的监控体系",formal
COURSE.017,"Git 高级用法 15 分钟",YouTube,https://www.youtube.com/watch?v=GitAdvanced,15,true,en,intermediate,"C.tool.git","rebase / cherry-pick / reflog 关键操作",formal
COURSE.018,"AI 编程助手最佳实践",极客时间,https://time.geekbang.org/ai-copilot,300,false,zh,beginner,"C.tool.aicopilot","Copilot/Cursor/CodeBuddy 的高效协作姿势",formal
COURSE.019,"OWASP Top 10 实战解读",网络安全学院,https://owasp.edu/top10,400,false,zh,intermediate,"C.hard.security","注入 / XSS / CSRF / SSRF 实战防御",formal
COURSE.020,"用户体验设计基础",Coursera,https://www.coursera.org/learn/ux-design,600,false,en,beginner,"C.hard.ux;C.hard.product.pm","信息架构 / 用户测试 / 设计规范",formal
